IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
156231365,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM,Wednesday,9/16/2015,23:30,CENTRAL,NONE,JEFFERSON ST / TAYLOR ST,-122.4158057,37.80821201,(37.80821200646/ -122.41580571059),1.56E+13
150815161,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,9/16/2015,23:28,MISSION,NONE,600 Block of CAPP ST,-122.417665,37.75629054,(37.7562905437465/ -122.417664996559),1.51E+13
150815161,ROBBERY,ROBBERY/ ARMED WITH A GUN,Wednesday,9/16/2015,23:28,MISSION,NONE,600 Block of CAPP ST,-122.417665,37.75629054,(37.7562905437465/ -122.417664996559),1.51E+13
150815224,ASSAULT,BATTERY/ FORMER SPOUSE OR DATING RELATIONSHIP,Wednesday,9/16/2015,23:27,TARAVAL,ARREST/ BOOKED,1800 Block of 21ST AV,-122.4786187,37.75319292,(37.7531929151299/ -122.478618706027),1.51E+13
150815155,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Wednesday,9/16/2015,23:21,SOUTHERN,NONE,8TH ST / MISSION ST,-122.4131609,37.77745666,(37.7774566611807/ -122.41316085097),1.51E+13
150815127,ASSAULT,BATTERY,Wednesday,9/16/2015,23:20,SOUTHERN,NONE,5TH ST / MARKET ST,-122.4080683,37.78399168,(37.7839916768161/ -122.408068345148),1.51E+13
150815127,VANDALISM,MALICIOUS MISCHIEF/ STREET CARS/BUSES,Wednesday,9/16/2015,23:20,SOUTHERN,NONE,5TH ST / MARKET ST,-122.4080683,37.78399168,(37.7839916768161/ -122.408068345148),1.51E+13
150815199,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,9/16/2015,23:16,INGLESIDE,NONE,MISSION ST / TRUMBULL ST,-122.4293067,37.73074292,(37.7307429169559/ -122.429306728376),1.51E+13
150823283,ASSAULT,BATTERY/ FORMER SPOUSE OR DATING RELATIONSHIP,Wednesday,9/16/2015,23:00,TARAVAL,NONE,2600 Block of 33RD AV,-122.4903286,37.7382931,(37.738293097252/ -122.490328575189),1.51E+13
150815218,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,23:00,NORTHERN,NONE,2100 Block of SACRAMENTO ST,-122.4282749,37.79050697,(37.7905069698436/ -122.428274924635),1.51E+13
150817452,VEHICLE THEFT,STOLEN TRUCK,Wednesday,9/16/2015,23:00,MISSION,NONE,3600 Block of 23RD ST,-122.4238913,37.75346261,(37.7534626136883/ -122.423891274444),1.51E+13
150823283,ROBBERY,ROBBERY/ BODILY FORCE,Wednesday,9/16/2015,23:00,TARAVAL,NONE,2600 Block of 33RD AV,-122.4903286,37.7382931,(37.738293097252/ -122.490328575189),1.51E+13
150823283,KIDNAPPING,KIDNAPPING/ ADULT VICTIM,Wednesday,9/16/2015,23:00,TARAVAL,NONE,2600 Block of 33RD AV,-122.4903286,37.7382931,(37.738293097252/ -122.490328575189),1.51E+13
150823283,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM,Wednesday,9/16/2015,23:00,TARAVAL,NONE,2600 Block of 33RD AV,-122.4903286,37.7382931,(37.738293097252/ -122.490328575189),1.51E+13
150815092,OTHER OFFENSES,VIOLATION OF STAY AWAY ORDER,Wednesday,9/16/2015,22:58,MISSION,ARREST/ BOOKED,2100 Block of MISSION ST,-122.4193859,37.76283309,(37.7628330926795/ -122.419385927086),1.51E+13
150815092,ASSAULT,THREATS AGAINST LIFE,Wednesday,9/16/2015,22:58,MISSION,ARREST/ BOOKED,2100 Block of MISSION ST,-122.4193859,37.76283309,(37.7628330926795/ -122.419385927086),1.51E+13
150815092,OTHER OFFENSES,STAY AWAY ORDER VIOLATION/ DV RELATED,Wednesday,9/16/2015,22:58,MISSION,ARREST/ BOOKED,2100 Block of MISSION ST,-122.4193859,37.76283309,(37.7628330926795/ -122.419385927086),1.51E+13
150815092,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,9/16/2015,22:58,MISSION,ARREST/ BOOKED,2100 Block of MISSION ST,-122.4193859,37.76283309,(37.7628330926795/ -122.419385927086),1.51E+13
